REGION,DISTRICT,YEAR,CROP,AREA (HA),YIELD (MT/HA),PRODUCTION (MT)
ASHANTI,ATWIMA NWABIAGYA,2011,CASSAVA,6050.00,16.30,98615.00
ASHANTI,EJUSU JUABEN,2011,CASSAVA,5760.00,14.50,83520.00
ASHANTI,BOSUMTWE-ATWIMA-KWANWOMA,2011,CASSAVA,5010.00,13.30,66633.00
ASHANTI,KWABRE ,2011,CASSAVA,5740.00,13.40,76916.00
ASHANTI,OFFINSO,2011,CASSAVA,8080.00,15.30,123624.00
ASHANTI,ADANSI NORTH,2011,CASSAVA,6760.00,16.30,110188.00
ASHANTI,OBUASI MUNICIPAL (ADANSI WEST),2011,CASSAVA,323.20,16.20,5235.84
ASHANTI,ADANSI  SOUTH,2011,CASSAVA,6565.00,17.30,113574.50
ASHANTI,ASANTE AKIM NORTH,2011,CASSAVA,4640.00,18.00,83520.00
ASHANTI,ASANTE AKIM SOUTH,2011,CASSAVA,7150.00,16.30,116545.00
ASHANTI,KUMASI METROPOLITAN ASSEMBLY,2011,CASSAVA,444.91,12.00,5338.92
ASHANTI,BEKWAI MUNICIPAL (AMANSIE EAST),2011,YAM,320.00,13.10,4192.00
ASHANTI,AMANSIE CENTRAL,2011,YAM,795.00,11.10,8824.50
ASHANTI,AMANSIE WEST,2011,YAM,864.30,11.10,9593.73
ASHANTI,EJURA SEKYEREDUMASE,2011,YAM,10200.00,15.65,159630.00
ASHANTI,SEKYERE WEST ,2011,YAM,7600.00,14.45,109820.00
ASHANTI,SEKYERE EAST,2011,YAM,3535.00,13.50,47722.50
ASHANTI,AFIGYA SEKYERE,2011,YAM,2295.00,13.00,29835.00
ASHANTI,AHAFO ANO NORTH,2011,YAM,810.00,12.60,10206.00
ASHANTI,AHAFO ANO SOUTH,2011,YAM,456.00,12.10,5517.60
ASHANTI,ATWIMA MPONUA,2011,YAM,486.00,14.00,6804.00
ASHANTI,ATWIMA NWABIAGYA,2011,YAM,1320.00,11.50,15180.00
ASHANTI,EJUSU JUABEN,2011,YAM,383.80,12.10,4643.98
ASHANTI,BOSUMTWE-ATWIMA-KWANWOMA,2011,YAM,693.60,12.10,8392.56
ASHANTI,KWABRE ,2011,YAM,202.00,10.30,2080.60
ASHANTI,OFFINSO,2011,YAM,1055.25,14.00,14773.50
ASHANTI,ADANSI NORTH,2011,YAM,605.00,11.00,6655.00
ASHANTI,OBUASI MUNICIPAL (ADANSI WEST),2011,YAM,424.20,10.10,4284.42
ASHANTI,ADANSI  SOUTH,2011,YAM,792.00,11.20,8870.40
ASHANTI,ASANTE AKIM NORTH,2011,YAM,813.05,12.70,10325.74
ASHANTI,ASANTE AKIM SOUTH,2011,YAM,277.75,12.10,3360.78
ASHANTI,KUMASI METROPOLITAN ASSEMBLY,2011,YAM,10.05,10.10,101.51
BRONG AHAFO, SUNYANI MUNICIPAL ,2011,MAIZE,37975.00,1.75,66456.25
BRONG AHAFO,ASUTIFI,2011,MAIZE,6212.00,1.82,11305.84
BRONG AHAFO, WENCHI MUNICIPAL ,2011,MAIZE,14784.00,1.95,28828.80
BRONG AHAFO,DORMA AHENKRO,2011,MAIZE,30000.00,1.80,54000.00
BRONG AHAFO,BEREKUM,2011,MAIZE,11859.00,1.97,23362.23
BRONG AHAFO,TANO NORTH,2011,MAIZE,5605.00,1.82,10201.10
BRONG AHAFO,TANO SOUTH,2011,MAIZE,5872.00,1.85,10863.20
BRONG AHAFO,SENE,2011,MAIZE,8334.00,1.74,14501.16
BRONG AHAFO,NKORANZA,2011,MAIZE,35685.00,1.80,64233.00
BRONG AHAFO,TECHIMAN MUNICIPAL,2011,MAIZE,15780.00,2.01,31717.80
BRONG AHAFO,ASUNAFO NORTH,2011,MAIZE,5802.00,1.74,10095.48
BRONG AHAFO,ASUNAFO SOUTH,2011,MAIZE,5424.00,1.62,8786.88
BRONG AHAFO,JAMAN NORTH,2011,MAIZE,2871.00,1.72,4938.12
BRONG AHAFO,JAMAN SOUTH,2011,MAIZE,6025.00,1.82,10965.50
BRONG AHAFO,KINTAMPO NORTH,2011,MAIZE,26004.00,1.95,50707.80
BRONG AHAFO,KINTAMPO SOUTH,2011,MAIZE,11384.00,1.82,20718.88
BRONG AHAFO,ATEBUBU -AMANTIN,2011,MAIZE,1750.00,2.00,3500.00
BRONG AHAFO,PRU,2011,MAIZE,3019.00,1.74,5253.06
BRONG AHAFO,TAIN,2011,MAIZE,2266.00,1.90,4305.40
BRONG AHAFO,ASUTIFI,2011,RICE,175.00,1.90,332.50
BRONG AHAFO,DORMA AHENKRO,2011,RICE,972.00,1.25,1215.00
BRONG AHAFO,TANO NORTH,2011,RICE,163.00,2.21,360.23
BRONG AHAFO,TANO SOUTH,2011,RICE,109.00,2.02,220.18
BRONG AHAFO,SENE,2011,RICE,1792.00,1.63,2920.96
BRONG AHAFO,ASUNAFO NORTH,2011,RICE,132.00,1.30,171.60
BRONG AHAFO,ASUNAFO SOUTH,2011,RICE,97.00,1.33,129.01
BRONG AHAFO,KINTAMPO NORTH,2011,RICE,43.00,1.82,78.26
BRONG AHAFO,ATEBUBU -AMANTIN,2011,RICE,251.00,1.85,464.35
BRONG AHAFO,PRU,2011,RICE,106.00,1.68,178.08
BRONG AHAFO, SUNYANI MUNICIPAL ,2011,CASSAVA,11687.00,12.00,140244.00
BRONG AHAFO,ASUTIFI,2011,CASSAVA,15603.00,15.00,234045.00
BRONG AHAFO, WENCHI MUNICIPAL ,2011,CASSAVA,10533.00,15.89,167369.37
BRONG AHAFO,DORMA AHENKRO,2011,CASSAVA,17420.00,14.50,252590.00
BRONG AHAFO,BEREKUM,2011,CASSAVA,8279.00,16.40,135775.60
BRONG AHAFO,TANO NORTH,2011,CASSAVA,3455.00,18.69,64573.95
BRONG AHAFO,TANO SOUTH,2011,CASSAVA,9044.00,17.86,161525.84
BRONG AHAFO,SENE,2011,CASSAVA,19947.00,14.40,287236.80
BRONG AHAFO,NKORANZA,2011,CASSAVA,7486.00,18.20,136245.20
BRONG AHAFO,TECHIMAN MUNICIPAL,2011,CASSAVA,10390.00,17.68,183695.20
BRONG AHAFO,ASUNAFO NORTH,2011,CASSAVA,4203.00,15.44,64894.32
BRONG AHAFO,ASUNAFO SOUTH,2011,CASSAVA,13511.00,15.37,207664.07
BRONG AHAFO,JAMAN NORTH,2011,CASSAVA,1997.00,15.20,30354.40
BRONG AHAFO,JAMAN SOUTH,2011,CASSAVA,4710.00,15.20,71592.00
BRONG AHAFO,KINTAMPO NORTH,2011,CASSAVA,4527.00,14.30,64736.10
BRONG AHAFO,KINTAMPO SOUTH,2011,CASSAVA,4125.00,18.62,76807.50
BRONG AHAFO,ATEBUBU -AMANTIN,2011,CASSAVA,19462.00,17.06,332021.72
BRONG AHAFO,PRU,2011,CASSAVA,9525.00,15.80,150495.00
BRONG AHAFO,TAIN,2011,CASSAVA,8999.00,13.50,121486.50
BRONG AHAFO, SUNYANI MUNICIPAL ,2011,YAM,398.00,16.70,6646.60
BRONG AHAFO,ASUTIFI,2011,YAM,149.00,11.65,1735.85
BRONG AHAFO, WENCHI MUNICIPAL ,2011,YAM,10181.00,17.15,174604.15
BRONG AHAFO,DORMA AHENKRO,2011,YAM,952.00,10.00,9520.00
BRONG AHAFO,BEREKUM,2011,YAM,1230.00,12.45,15313.50
BRONG AHAFO,TANO NORTH,2011,YAM,305.00,12.34,3763.70
BRONG AHAFO,TANO SOUTH,2011,YAM,653.00,13.00,8489.00
BRONG AHAFO,SENE,2011,YAM,19655.00,18.00,353790.00
BRONG AHAFO,NKORANZA,2011,YAM,10557.00,18.00,190026.00
BRONG AHAFO,TECHIMAN MUNICIPAL,2011,YAM,13510.00,20.34,274793.40
BRONG AHAFO,ASUNAFO NORTH,2011,YAM,98.00,13.85,1357.30
BRONG AHAFO,ASUNAFO SOUTH,2011,YAM,108.00,13.70,1479.60
BRONG AHAFO,JAMAN NORTH,2011,YAM,8106.00,15.00,121590.00
BRONG AHAFO,JAMAN SOUTH,2011,YAM,11880.00,14.73,174992.40
BRONG AHAFO,KINTAMPO NORTH,2011,YAM,8139.00,18.00,146502.00
BRONG AHAFO,KINTAMPO SOUTH,2011,YAM,8055.00,21.14,170282.70
BRONG AHAFO,ATEBUBU -AMANTIN,2011,YAM,11534.00,14.52,167473.68
BRONG AHAFO,PRU,2011,YAM,12013.00,17.80,213831.40
BRONG AHAFO,TAIN,2011,YAM,7950.00,17.00,135150.00
UPPER WEST,WA WEST,2011,MAIZE,5440.00,1.20,6528.00
UPPER WEST,WA EAST,2011,MAIZE,8730.00,1.20,10476.00
UPPER WEST,WA MUNICIPAL,2011,MAIZE,7580.00,1.25,9475.00
UPPER WEST,LAWRA,2011,MAIZE,5380.00,0.70,3766.00
UPPER WEST,SISSALA EAST,2011,MAIZE,10560.00,1.40,14784.00
UPPER WEST,SISSALA WEST,2011,MAIZE,9340.00,1.30,12142.00
UPPER WEST,JIRAPA-LAMBUSSIE,2011,MAIZE,7420.00,1.00,7420.00
UPPER WEST,NADOWLI,2011,MAIZE,12900.00,1.40,18060.00
UPPER WEST,WA WEST,2011,RICE,1522.50,1.60,2436.00
UPPER WEST,WA EAST,2011,RICE,787.50,1.50,1181.25
UPPER WEST,WA MUNICIPAL,2011,RICE,462.00,1.30,600.60
UPPER WEST,LAWRA,2011,RICE,115.50,1.30,150.15
UPPER WEST,SISSALA EAST,2011,RICE,206.00,1.80,370.80
UPPER WEST,SISSALA WEST,2011,RICE,378.00,1.00,378.00
UPPER WEST,JIRAPA-LAMBUSSIE,2011,RICE,1095.00,1.00,1095.00
UPPER WEST,NADOWLI,2011,RICE,262.50,1.20,315.00
UPPER WEST,WA WEST,2011,YAM,5026.60,11.00,55292.60
UPPER WEST,WA EAST,2011,YAM,5293.60,20.00,105872.00
UPPER WEST,WA MUNICIPAL,2011,YAM,4641.40,23.80,110465.32
UPPER WEST,SISSALA EAST,2011,YAM,2651.00,12.50,33137.50
UPPER WEST,SISSALA WEST,2011,YAM,2580.00,15.00,38700.00
UPPER WEST,JIRAPA-LAMBUSSIE,2011,YAM,1275.00,14.00,17850.00
UPPER WEST,NADOWLI,2011,YAM,4834.00,23.00,111182.00
UPPER WEST,WA WEST,2011,SOYABEAN,4460.00,1.30,5798.00
UPPER WEST,WA EAST,2011,SOYABEAN,4720.00,1.00,4720.00
UPPER WEST,WA MUNICIPAL,2011,SOYABEAN,4730.00,1.20,5676.00
UPPER WEST,LAWRA,2011,SOYABEAN,188.00,0.80,150.40
UPPER WEST,SISSALA EAST,2011,SOYABEAN,157.00,1.50,235.50
UPPER WEST,SISSALA WEST,2011,SOYABEAN,170.00,1.60,272.00
UPPER WEST,JIRAPA-LAMBUSSIE,2011,SOYABEAN,399.00,0.60,239.40
UPPER WEST,NADOWLI,2011,SOYABEAN,806.00,0.80,644.80
UPPER EAST,BUILSA,2011,MAIZE,4110.00,1.25,5137.50
UPPER EAST,KASINA-NANKANA,2011,MAIZE,5020.00,1.60,8032.00
UPPER EAST,BOLGATANGA MUNICIPAL,2011,MAIZE,2600.00,2.29,5954.00
UPPER EAST,BAWKU MUNICIPAL,2011,MAIZE,12420.00,2.30,28566.00
UPPER EAST,BAWKU WEST,2011,MAIZE,6850.00,1.30,8905.00
UPPER EAST,BONGO,2011,MAIZE,710.00,1.06,752.60
UPPER EAST,GARU TEMPANE,2011,MAIZE,7300.00,1.50,10950.00
UPPER EAST,TALENSI NABDAM,2011,MAIZE,4360.00,1.60,6976.00
UPPER EAST,BUILSA,2011,RICE,10200.00,2.50,25500.00
UPPER EAST,KASINA-NANKANA,2011,RICE,11840.00,2.80,33152.00
UPPER EAST,BOLGATANGA MUNICIPAL,2011,RICE,5760.00,0.68,3916.80
UPPER EAST,BAWKU MUNICIPAL,2011,RICE,6500.00,2.00,13000.00
UPPER EAST,BAWKU WEST,2011,RICE,6480.00,2.60,16848.00
UPPER EAST,BONGO,2011,RICE,4150.00,1.90,7885.00
UPPER EAST,GARU TEMPANE,2011,RICE,4340.00,1.40,6076.00
UPPER EAST,TALENSI NABDAM,2011,RICE,1810.00,1.70,3077.00
UPPER EAST,BUILSA,2011,SOYABEAN,420.00,0.50,210.00
UPPER EAST,KASINA-NANKANA,2011,SOYABEAN,560.00,0.50,280.00
UPPER EAST,BOLGATANGA MUNICIPAL,2011,SOYABEAN,920.00,0.46,423.20
UPPER EAST,BAWKU MUNICIPAL,2011,SOYABEAN,7850.00,1.10,8635.00
UPPER EAST,BAWKU WEST,2011,SOYABEAN,3230.00,0.54,1744.20
UPPER EAST,BONGO,2011,SOYABEAN,240.00,1.00,240.00
UPPER EAST,GARU TEMPANE,2011,SOYABEAN,1900.00,0.64,1216.00
UPPER EAST,TALENSI NABDAM,2011,SOYABEAN,2060.00,1.15,2369.00
WESTERN,SHAMA AHANTA EAST,2011,COCOYAM,60.00,4.90,294.00
WESTERN,WEST AHANTA,2011,COCOYAM,200.00,4.80,960.00
WESTERN,MPORHOR WASSA EAST,2011,COCOYAM,1600.00,4.65,7440.00
WESTERN,WASSA WEST,2011,COCOYAM,600.00,4.75,2850.00
WESTERN,EAST NZEMA,2011,COCOYAM,100.00,4.90,490.00
WESTERN,JOMORO,2011,COCOYAM,100.00,3.90,390.00
WESTERN,AMENFI EAST,2011,COCOYAM,1200.00,5.82,6984.00
WESTERN,AMENFI  WEST (WASSA AMENFI),2011,COCOYAM,950.00,4.80,4560.00
WESTERN,AOWIN -SUAMAN,2011,COCOYAM,5100.00,4.80,24480.00
WESTERN,BIBIANI-ANHWIASO-BEKWAI,2011,COCOYAM,6500.00,5.75,37375.00
WESTERN,SEFWI-WIAWSO,2011,COCOYAM,9500.00,6.80,64600.00
WESTERN,BIA,2011,COCOYAM,5700.00,6.70,38190.00
WESTERN,JUABESO,2011,COCOYAM,6200.00,6.80,42160.00
WESTERN,SHAMA AHANTA EAST,2011,PLANTAIN,350.00,8.98,3143.00
WESTERN,WEST AHANTA,2011,PLANTAIN,300.00,7.05,2115.00
WESTERN,MPORHOR WASSA EAST,2011,PLANTAIN,1750.00,8.99,15732.50
WESTERN,WASSA WEST,2011,PLANTAIN,1150.00,7.80,8970.00
WESTERN,EAST NZEMA,2011,PLANTAIN,350.00,9.85,3447.50
WESTERN,JOMORO,2011,PLANTAIN,300.00,10.80,3240.00
WESTERN,AMENFI EAST,2011,PLANTAIN,4850.00,10.50,50925.00
WESTERN,AMENFI  WEST (WASSA AMENFI),2011,PLANTAIN,4800.00,9.60,46080.00
WESTERN,AOWIN -SUAMAN,2011,PLANTAIN,8300.00,10.90,90470.00
WESTERN,BIBIANI-ANHWIASO-BEKWAI,2011,PLANTAIN,8100.00,9.90,80190.00
WESTERN,SEFWI-WIAWSO,2011,PLANTAIN,12400.00,9.60,119040.00
WESTERN,BIA,2011,PLANTAIN,7000.00,9.85,68950.00
WESTERN,JUABESO,2011,PLANTAIN,7200.00,9.76,70272.00
CENTRAL,UPPER DENKYIRA,2011,COCOYAM,5689.00,6.71,38173.19
CENTRAL,TWIFO HERMAN LOWER DENKYIRA,2011,COCOYAM,1985.00,4.75,9428.75
CENTRAL,ASSIN SOUTH,2011,COCOYAM,1321.00,4.32,5706.72
CENTRAL,ASSIN NORTH,2011,COCOYAM,2210.00,4.62,10210.20
CENTRAL,ABURA-ASEBU-KWAMANKESE,2011,COCOYAM,755.00,4.62,3488.10
CENTRAL,ASIKUMA-ODOBEN-BRAKWA,2011,COCOYAM,17.00,4.42,75.14
CENTRAL,AJUMAKO-ENYAN-ESIAM,2011,COCOYAM,1090.00,7.32,7978.80
CENTRAL,CAPE COAST,2011,COCOYAM,416.00,4.30,1788.80
CENTRAL,AGONA,2011,COCOYAM,2461.00,7.11,17497.71
CENTRAL,UPPER DENKYIRA,2011,PLANTAIN,5973.40,9.14,54596.88
CENTRAL,TWIFO HERMAN LOWER DENKYIRA,2011,PLANTAIN,3033.00,9.20,27903.60
CENTRAL,ASSIN SOUTH,2011,PLANTAIN,1301.00,9.40,12229.40
CENTRAL,ASSIN NORTH,2011,PLANTAIN,1700.00,6.12,10404.00
CENTRAL,ABURA-ASEBU-KWAMANKESE,2011,PLANTAIN,1123.00,5.12,5749.76
CENTRAL,ASIKUMA-ODOBEN-BRAKWA,2011,PLANTAIN,431.00,8.62,3715.22
CENTRAL,MFANTSIMAN,2011,PLANTAIN,304.00,3.95,1200.80
CENTRAL,KOMENDA-EDINA-EGUAFO-ABIREM,2011,PLANTAIN,502.00,5.90,2961.80
CENTRAL,AJUMAKO-ENYAN-ESIAM,2011,PLANTAIN,512.00,11.14,5703.68
CENTRAL,AWUTU-EFUTU-SENYA,2011,PLANTAIN,82.00,13.70,1123.40
CENTRAL,GOMOA,2011,PLANTAIN,57.00,7.42,422.94
CENTRAL,CAPE COAST,2011,PLANTAIN,132.00,7.70,1016.40
CENTRAL,AGONA,2011,PLANTAIN,2712.00,12.30,33357.60
EASTERN,BIRIM SOUTH,2011,COCOYAM,4233.06,9.50,40214.07
EASTERN,WEST AKIM,2011,COCOYAM,3893.00,7.00,27251.00
EASTERN,SUHUM KRABOA COALTAR,2011,COCOYAM,571.50,8.25,4714.88
EASTERN,AKUAPIM SOUTH,2011,COCOYAM,310.00,5.50,1705.00
EASTERN,AKUAPIM NORTH,2011,COCOYAM,325.00,8.00,2600.00
EASTERN,NEW JUABEN,2011,COCOYAM,278.00,8.00,2224.00
EASTERN,YILO KROBO,2011,COCOYAM,850.00,5.50,4675.00
EASTERN,EAST AKIM,2011,COCOYAM,2390.00,8.50,20315.00
EASTERN,ATIWA,2011,COCOYAM,4131.21,8.00,33049.68
EASTERN,KWAEBIBIREM,2011,COCOYAM,2715.00,8.90,24163.50
EASTERN,BIRIM NORTH,2011,COCOYAM,2372.00,8.40,19924.80
EASTERN,KWAHU WEST,2011,COCOYAM,611.00,8.00,4888.00
EASTERN,KWAHU WEST,2011,COCOYAM,1120.00,7.80,8736.00
EASTERN,FANTEAKWA,2011,COCOYAM,7010.00,8.23,57692.30
EASTERN,AFRAM PLAINS,2011,COCOYAM,46.00,5.00,230.00
EASTERN,ASUOGYAMAN,2011,COCOYAM,38.00,5.00,190.00
EASTERN,MANYA KROBO,2011,COCOYAM,124.00,7.00,868.00
EASTERN,BIRIM SOUTH,2011,PLANTAIN,8556.00,11.00,94116.00
EASTERN,WEST AKIM,2011,PLANTAIN,9812.64,10.50,103032.72
EASTERN,SUHUM KRABOA COALTAR,2011,PLANTAIN,7615.00,8.90,67773.50
EASTERN,AKUAPIM SOUTH,2011,PLANTAIN,1569.00,9.40,14748.60
EASTERN,AKUAPIM NORTH,2011,PLANTAIN,1450.00,9.80,14210.00
EASTERN,NEW JUABEN,2011,PLANTAIN,880.00,10.60,9328.00
EASTERN,YILO KROBO,2011,PLANTAIN,589.00,9.60,5654.40
EASTERN,EAST AKIM,2011,PLANTAIN,5072.00,10.60,53763.20
EASTERN,ATIWA,2011,PLANTAIN,8806.50,10.00,88065.00
EASTERN,KWAEBIBIREM,2011,PLANTAIN,5859.00,9.80,57418.20
EASTERN,BIRIM NORTH,2011,PLANTAIN,9801.00,9.60,94089.60
EASTERN,KWAHU WEST,2011,PLANTAIN,2541.90,11.20,28469.28
EASTERN,KWAHU WEST,2011,PLANTAIN,6920.00,9.50,65740.00
EASTERN,FANTEAKWA,2011,PLANTAIN,13625.00,10.50,143062.50
EASTERN,AFRAM PLAINS,2011,PLANTAIN,156.00,7.00,1092.00
EASTERN,ASUOGYAMAN,2011,PLANTAIN,900.00,8.50,7650.00
EASTERN,MANYA KROBO,2011,PLANTAIN,615.00,9.80,6027.00
EASTERN,KWAHU WEST,2011,GROUNDNUT,2032.10,1.30,2641.73
EASTERN,AFRAM PLAINS,2011,GROUNDNUT,8220.00,1.40,11508.00
EASTERN,NEW JUABEN,2011,COWPEA,55.00,1.40,77.00
EASTERN,YILO KROBO,2011,COWPEA,30.00,1.20,36.00
EASTERN,KWAHU WEST,2011,COWPEA,10.00, -   , -   
EASTERN,FANTEAKWA,2011,COWPEA,572.00,1.40,800.80
EASTERN,AFRAM PLAINS,2011,COWPEA,1173.00,1.30,1524.90
EASTERN,MANYA KROBO,2011,COWPEA,106.00,1.20,127.20
VOLTA,NORTH DAYI (KPANDO),2011,COCOYAM,101.00,6.19,625.19
VOLTA,SOUTH DAYI,2011,COCOYAM,122.40,5.07,620.57
VOLTA,HOHOE MUNICIPAL,2011,COCOYAM,213.20,3.06,651.33
VOLTA,JASIKAN,2011,COCOYAM,2101.20,10.63,22339.96
VOLTA,KADJEBI,2011,COCOYAM,2233.80,8.06,18004.43
VOLTA,NKWANTA,2011,COCOYAM,855.80,5.40,4621.32
VOLTA,KRACHI WEST,2011,COCOYAM,70.40,3.48,244.71
VOLTA,KRACHI EAST,2011,COCOYAM,101.00,4.49,453.29
VOLTA,HO MUNICIPAL,2011,COCOYAM,449.00,3.60,1617.30
VOLTA,ADAKLU ANYIGBE,2011,COCOYAM,20.30,4.90,99.51
VOLTA,NORTH DAYI (KPANDO),2011,PLANTAIN,204.00,6.07,1238.28
VOLTA,SOUTH DAYI,2011,PLANTAIN,174.40,7.16,1248.70
VOLTA,HOHOE MUNICIPAL,2011,PLANTAIN,643.00,5.61,3607.23
VOLTA,JASIKAN,2011,PLANTAIN,3327.20,8.88,29532.23
VOLTA,KADJEBI,2011,PLANTAIN,2399.00,7.65,18357.15
VOLTA,NKWANTA,2011,PLANTAIN,510.20,6.85,3492.93
VOLTA,KRACHI WEST,2011,PLANTAIN,122.60,5.66,694.28
VOLTA,KRACHI EAST,2011,PLANTAIN,213.20,6.12,1305.21
VOLTA,HO MUNICIPAL,2011,PLANTAIN,285.60,10.41,2971.95
VOLTA,ADAKLU ANYIGBE,2011,PLANTAIN,20.20,5.30,107.14
VOLTA,NKWANTA,2011,SORGHUM,614.00,1.11,681.54
VOLTA,KRACHI WEST,2011,SORGHUM,2610.40,1.23,3210.79
VOLTA,KRACHI EAST,2011,SORGHUM,1179.20,1.23,1452.77
VOLTA,NORTH TONGU,2011,COWPEA,65.00,1.50,97.50
VOLTA,AKATSI,2011,COWPEA,674.20,2.20,1483.24
VOLTA,NKWANTA,2011,COWPEA,1234.00,1.12,1384.55
ASHANTI,BEKWAI MUNICIPAL (AMANSIE EAST),2011,COCOYAM,2800.00,5.50,15400.00
ASHANTI,AMANSIE CENTRAL,2011,COCOYAM,1444.30,7.50,10832.25
ASHANTI,AMANSIE WEST,2011,COCOYAM,1500.00,6.80,10200.00
ASHANTI,EJURA SEKYEREDUMASE,2011,COCOYAM,30.00,4.50,135.00
ASHANTI,SEKYERE WEST ,2011,COCOYAM,2079.00,6.50,13513.50
ASHANTI,SEKYERE EAST,2011,COCOYAM,3260.00,6.60,21516.00
ASHANTI,AFIGYA SEKYERE,2011,COCOYAM,3333.00,6.50,21664.50
ASHANTI,AHAFO ANO NORTH,2011,COCOYAM,6565.00,6.60,43329.00
ASHANTI,AHAFO ANO SOUTH,2011,COCOYAM,9690.00,6.10,59109.00
ASHANTI,ATWIMA MPONUA,2011,COCOYAM,6300.00,5.60,35280.00
ASHANTI,ATWIMA NWABIAGYA,2011,COCOYAM,5500.00,5.20,28600.00
ASHANTI,EJUSU JUABEN,2011,COCOYAM,2474.50,6.50,16084.25
ASHANTI,BOSUMTWE-ATWIMA-KWANWOMA,2011,COCOYAM,1029.00,6.60,6791.40
ASHANTI,KWABRE ,2011,COCOYAM,2871.00,6.39,18351.43
ASHANTI,OFFINSO,2011,COCOYAM,1500.00,6.00,9000.00
ASHANTI,ADANSI NORTH,2011,COCOYAM,1100.00,5.50,6050.00
ASHANTI,OBUASI MUNICIPAL (ADANSI WEST),2011,COCOYAM,450.00,6.00,2700.00
ASHANTI,ADANSI  SOUTH,2011,COCOYAM,2400.00,6.50,15600.00
ASHANTI,ASANTE AKIM NORTH,2011,COCOYAM,1188.00,7.00,8316.00
ASHANTI,ASANTE AKIM SOUTH,2011,COCOYAM,8585.00,5.00,42925.00
ASHANTI,KUMASI METROPOLITAN ASSEMBLY,2011,COCOYAM,10.00,4.00,40.00
ASHANTI,BEKWAI MUNICIPAL (AMANSIE EAST),2011,PLANTAIN,6882.75,10.00,68827.50
ASHANTI,AMANSIE CENTRAL,2011,PLANTAIN,4554.00,8.80,40075.20
ASHANTI,AMANSIE WEST,2011,PLANTAIN,3260.25,9.60,31298.40
ASHANTI,EJURA SEKYEREDUMASE,2011,PLANTAIN,838.35,8.60,7209.81
ASHANTI,SEKYERE WEST ,2011,PLANTAIN,4140.00,10.60,43884.00
ASHANTI,SEKYERE EAST,2011,PLANTAIN,3622.50,12.00,43470.00
ASHANTI,AFIGYA SEKYERE,2011,PLANTAIN,4657.50,8.70,40520.25
ASHANTI,AHAFO ANO NORTH,2011,PLANTAIN,7200.00,10.60,76320.00
ASHANTI,AHAFO ANO SOUTH,2011,PLANTAIN,7762.50,9.70,75296.25
ASHANTI,ATWIMA MPONUA,2011,PLANTAIN,8280.00,9.70,80316.00
ASHANTI,ATWIMA NWABIAGYA,2011,PLANTAIN,4657.50,9.80,45643.50
ASHANTI,EJUSU JUABEN,2011,PLANTAIN,3519.00,9.80,34486.20
ASHANTI,BOSUMTWE-ATWIMA-KWANWOMA,2011,PLANTAIN,3208.50,9.80,31443.30
ASHANTI,KWABRE ,2011,PLANTAIN,2070.00,10.50,21735.00
ASHANTI,OFFINSO,2011,PLANTAIN,6210.00,10.40,64584.00
ASHANTI,ADANSI NORTH,2011,PLANTAIN,4347.00,10.20,44339.40
ASHANTI,OBUASI MUNICIPAL (ADANSI WEST),2011,PLANTAIN,931.50,8.70,8104.05
ASHANTI,ADANSI  SOUTH,2011,PLANTAIN,2850.00,10.60,30210.00
ASHANTI,ASANTE AKIM NORTH,2011,PLANTAIN,8493.22,10.50,89178.77
ASHANTI,ASANTE AKIM SOUTH,2011,PLANTAIN,7748.53,11.70,90657.77
ASHANTI,KUMASI METROPOLITAN ASSEMBLY,2011,PLANTAIN,983.25,10.00,9832.50
ASHANTI,EJURA SEKYEREDUMASE,2011,GROUNDNUT,4464.20,1.35,6026.67
ASHANTI,SEKYERE WEST ,2011,GROUNDNUT,580.00,1.20,696.00
ASHANTI,SEKYERE EAST,2011,GROUNDNUT,663.00,1.17,775.71
ASHANTI,AFIGYA SEKYERE,2011,GROUNDNUT,60.00,1.10,66.00
ASHANTI,OFFINSO,2011,GROUNDNUT,494.40,1.17,578.45
ASHANTI,EJURA SEKYEREDUMASE,2011,COWPEA,6060.00,0.32,1939.20
ASHANTI,SEKYERE WEST ,2011,COWPEA,918.00, -   , -   
ASHANTI,SEKYERE EAST,2011,COWPEA,707.00,0.40,282.80
ASHANTI,AFIGYA SEKYERE,2011,COWPEA,80.00, -   , -   
ASHANTI,AHAFO ANO NORTH,2011,COWPEA,80.00,0.55,43.60
ASHANTI,ATWIMA NWABIAGYA,2011,COWPEA,20.00, -   , -   
ASHANTI,BOSUMTWE-ATWIMA-KWANWOMA,2011,COWPEA,70.00,0.30,21.00
ASHANTI,OFFINSO,2011,COWPEA,214.20,0.35,74.97
ASHANTI,ASANTE AKIM NORTH,2011,COWPEA,63.38,0.40,25.35
BRONG AHAFO, WENCHI MUNICIPAL ,2011,SORGHUM,108.00,1.18,127.44
BRONG AHAFO,NKORANZA,2011,SORGHUM,95.00,1.00,95.00
BRONG AHAFO,KINTAMPO NORTH,2011,SORGHUM,155.00,1.10,170.50
BRONG AHAFO,ATEBUBU -AMANTIN,2011,SORGHUM,125.00,1.11,138.75
BRONG AHAFO,TAIN,2011,SORGHUM,147.00,1.20,176.40
BRONG AHAFO, SUNYANI MUNICIPAL ,2011,COCOYAM,1631.00,4.51,7355.81
BRONG AHAFO,ASUTIFI,2011,COCOYAM,14699.00,7.00,102893.00
