REGION,DISTRICT,YEAR,CROP,AREA (HA),YIELD (MT/HA),PRODUCTION (MT),TOTAL RAINFALL(MM),,
BRONG AHAFO,BEREKUM,1/1/2011,CASSAVA,"8,279.00",16.4,"135,775.60",823,,
BRONG AHAFO,TANO NORTH,1/1/2011,CASSAVA,"3,455.00",18.69,"64,573.95",823,,
BRONG AHAFO,TANO SOUTH,1/1/2011,CASSAVA,"9,044.00",17.86,"161,525.84",823,,
BRONG AHAFO,SENE,1/1/2011,CASSAVA,"19,947.00",14.4,"287,236.80",823,,
BRONG AHAFO,NKORANZA,1/1/2011,CASSAVA,"7,486.00",18.2,"136,245.20",823,,
BRONG AHAFO,TECHIMAN MUNICIPAL,1/1/2011,CASSAVA,"10,390.00",17.68,"183,695.20",823,,
BRONG AHAFO,ASUNAFO NORTH,1/1/2011,CASSAVA,"4,203.00",15.44,"64,894.32",823,,
BRONG AHAFO,ASUNAFO SOUTH,1/1/2011,CASSAVA,"13,511.00",15.37,"207,664.07",823,,
BRONG AHAFO,JAMAN NORTH,1/1/2011,CASSAVA,"1,997.00",15.2,"30,354.40",823,,
BRONG AHAFO,JAMAN SOUTH,1/1/2011,CASSAVA,"4,710.00",15.2,"71,592.00",823,,
BRONG AHAFO,KINTAMPO NORTH,1/1/2011,CASSAVA,"4,527.00",14.3,"64,736.10",823,,
BRONG AHAFO,KINTAMPO SOUTH,1/1/2011,CASSAVA,"4,125.00",18.62,"76,807.50",823,,
BRONG AHAFO,ATEBUBU -AMANTIN,1/1/2011,CASSAVA,"19,462.00",17.06,"332,021.72",823,,
BRONG AHAFO,PRU,1/1/2011,CASSAVA,"9,525.00",15.8,"150,495.00",823,,
BRONG AHAFO,TAIN,1/1/2011,CASSAVA,"8,999.00",13.5,"121,486.50",823,,
BRONG AHAFO, SUNYANI MUNICIPAL ,1/1/2011,YAM,398,16.7,"6,646.60",823,,
BRONG AHAFO,ASUTIFI,1/1/2011,YAM,149,11.65,"1,735.85",823,,
BRONG AHAFO, WENCHI MUNICIPAL ,1/1/2011,YAM,"10,181.00",17.15,"174,604.15",823,,
BRONG AHAFO,DORMA AHENKRO,1/1/2011,YAM,952,10,"9,520.00",823,,
BRONG AHAFO,BEREKUM,1/1/2011,YAM,"1,230.00",12.45,"15,313.50",823,,
BRONG AHAFO,TANO NORTH,1/1/2011,YAM,305,12.34,"3,763.70",823,,
BRONG AHAFO,TANO SOUTH,1/1/2011,YAM,653,13,"8,489.00",823,,
BRONG AHAFO,SENE,1/1/2011,YAM,"19,655.00",18,"353,790.00",823,,
BRONG AHAFO,NKORANZA,1/1/2011,YAM,"10,557.00",18,"190,026.00",823,,
BRONG AHAFO,TECHIMAN MUNICIPAL,1/1/2011,YAM,"13,510.00",20.34,"274,793.40",823,,
BRONG AHAFO,ASUNAFO NORTH,1/1/2011,YAM,98,13.85,"1,357.30",823,,
BRONG AHAFO,ASUNAFO SOUTH,1/1/2011,YAM,108,13.7,"1,479.60",823,,
BRONG AHAFO,JAMAN NORTH,1/1/2011,YAM,"8,106.00",15,"121,590.00",823,,
BRONG AHAFO,JAMAN SOUTH,1/1/2011,YAM,"11,880.00",14.73,"174,992.40",823,,
BRONG AHAFO,KINTAMPO NORTH,1/1/2011,YAM,"8,139.00",18,"146,502.00",823,,
BRONG AHAFO,KINTAMPO SOUTH,1/1/2011,YAM,"8,055.00",21.14,"170,282.70",823,,
BRONG AHAFO,ATEBUBU -AMANTIN,1/1/2011,YAM,"11,534.00",14.52,"167,473.68",823,,
BRONG AHAFO,PRU,1/1/2011,YAM,"12,013.00",17.8,"213,831.40",823,,
BRONG AHAFO,TAIN,1/1/2011,YAM,"7,950.00",17,"135,150.00",823,,
UPPER WEST,WA WEST,1/1/2011,MAIZE,"5,440.00",1.2,"6,528.00",523,,
UPPER WEST,WA EAST,1/1/2011,MAIZE,"8,730.00",1.2,"10,476.00",523,,
UPPER WEST,WA MUNICIPAL,1/1/2011,MAIZE,"7,580.00",1.25,"9,475.00",523,,
UPPER WEST,LAWRA,1/1/2011,MAIZE,"5,380.00",0.7,"3,766.00",523,,
UPPER WEST,SISSALA EAST,1/1/2011,MAIZE,"10,560.00",1.4,"14,784.00",523,,
UPPER WEST,SISSALA WEST,1/1/2011,MAIZE,"9,340.00",1.3,"12,142.00",523,,
UPPER WEST,JIRAPA-LAMBUSSIE,1/1/2011,MAIZE,"7,420.00",1,"7,420.00",523,,
UPPER WEST,NADOWLI,1/1/2011,MAIZE,"12,900.00",1.4,"18,060.00",523,,
UPPER WEST,WA WEST,1/1/2011,RICE,"1,522.50",1.6,"2,436.00",523,,
UPPER WEST,WA EAST,1/1/2011,RICE,787.5,1.5,"1,181.25",523,,
UPPER WEST,WA MUNICIPAL,1/1/2011,RICE,462,1.3,600.6,523,,
UPPER WEST,LAWRA,1/1/2011,RICE,115.5,1.3,150.15,523,,
UPPER WEST,SISSALA EAST,1/1/2011,RICE,206,1.8,370.8,523,,
UPPER WEST,SISSALA WEST,1/1/2011,RICE,378,1,378,523,,
UPPER WEST,JIRAPA-LAMBUSSIE,1/1/2011,RICE,"1,095.00",1,"1,095.00",523,,
UPPER WEST,NADOWLI,1/1/2011,RICE,262.5,1.2,315,523,,
UPPER WEST,WA WEST,1/1/2011,YAM,"5,026.60",11,"55,292.60",523,,
UPPER WEST,WA EAST,1/1/2011,YAM,"5,293.60",20,"105,872.00",523,,
UPPER WEST,WA MUNICIPAL,1/1/2011,YAM,"4,641.40",23.8,"110,465.32",523,,
UPPER WEST,SISSALA EAST,1/1/2011,YAM,"2,651.00",12.5,"33,137.50",523,,
UPPER WEST,SISSALA WEST,1/1/2011,YAM,"2,580.00",15,"38,700.00",523,,
UPPER WEST,JIRAPA-LAMBUSSIE,1/1/2011,YAM,"1,275.00",14,"17,850.00",523,,
UPPER WEST,NADOWLI,1/1/2011,YAM,"4,834.00",23,"111,182.00",523,,
UPPER WEST,WA WEST,1/1/2011,SOYABEAN,"4,460.00",1.3,"5,798.00",523,,
UPPER WEST,WA EAST,1/1/2011,SOYABEAN,"4,720.00",1,"4,720.00",523,,
UPPER WEST,WA MUNICIPAL,1/1/2011,SOYABEAN,"4,730.00",1.2,"5,676.00",523,,
UPPER WEST,LAWRA,1/1/2011,SOYABEAN,188,0.8,150.4,523,,
UPPER WEST,SISSALA EAST,1/1/2011,SOYABEAN,157,1.5,235.5,523,,
UPPER WEST,SISSALA WEST,1/1/2011,SOYABEAN,170,1.6,272,523,,
UPPER WEST,JIRAPA-LAMBUSSIE,1/1/2011,SOYABEAN,399,0.6,239.4,523,,
UPPER WEST,NADOWLI,1/1/2011,SOYABEAN,806,0.8,644.8,523,,
UPPER EAST,BUILSA,1/1/2011,MAIZE,"4,110.00",1.25,"5,137.50",665,,
UPPER EAST,KASINA-NANKANA,1/1/2011,MAIZE,"5,020.00",1.6,"8,032.00",665,,
UPPER EAST,BOLGATANGA MUNICIPAL,1/1/2011,MAIZE,"2,600.00",2.29,"5,954.00",665,,
UPPER EAST,BAWKU MUNICIPAL,1/1/2011,MAIZE,"12,420.00",2.3,"28,566.00",665,,
UPPER EAST,BAWKU WEST,1/1/2011,MAIZE,"6,850.00",1.3,"8,905.00",665,,
UPPER EAST,BONGO,1/1/2011,MAIZE,710,1.06,752.6,665,,
UPPER EAST,GARU TEMPANE,1/1/2011,MAIZE,"7,300.00",1.5,"10,950.00",665,,
UPPER EAST,TALENSI NABDAM,1/1/2011,MAIZE,"4,360.00",1.6,"6,976.00",665,,
UPPER EAST,BUILSA,1/1/2011,RICE,"10,200.00",2.5,"25,500.00",665,,
UPPER EAST,KASINA-NANKANA,1/1/2011,RICE,"11,840.00",2.8,"33,152.00",665,,
UPPER EAST,BOLGATANGA MUNICIPAL,1/1/2011,RICE,"5,760.00",0.68,"3,916.80",665,,
UPPER EAST,BAWKU MUNICIPAL,1/1/2011,RICE,"6,500.00",2,"13,000.00",665,,
UPPER EAST,BAWKU WEST,1/1/2011,RICE,"6,480.00",2.6,"16,848.00",665,,
UPPER EAST,BONGO,1/1/2011,RICE,"4,150.00",1.9,"7,885.00",665,,
UPPER EAST,GARU TEMPANE,1/1/2011,RICE,"4,340.00",1.4,"6,076.00",665,,
UPPER EAST,TALENSI NABDAM,1/1/2011,RICE,"1,810.00",1.7,"3,077.00",665,,
UPPER EAST,BUILSA,1/1/2011,SOYABEAN,420,0.5,210,665,,
UPPER EAST,KASINA-NANKANA,1/1/2011,SOYABEAN,560,0.5,280,665,,
UPPER EAST,BOLGATANGA MUNICIPAL,1/1/2011,SOYABEAN,920,0.46,423.2,665,,
UPPER EAST,BAWKU MUNICIPAL,1/1/2011,SOYABEAN,"7,850.00",1.1,"8,635.00",665,,
UPPER EAST,BAWKU WEST,1/1/2011,SOYABEAN,"3,230.00",0.54,"1,744.20",665,,
UPPER EAST,BONGO,1/1/2011,SOYABEAN,240,1,240,665,,
UPPER EAST,GARU TEMPANE,1/1/2011,SOYABEAN,"1,900.00",0.64,"1,216.00",665,,
UPPER EAST,TALENSI NABDAM,1/1/2011,SOYABEAN,"2,060.00",1.15,"2,369.00",665,,
WESTERN,SHAMA AHANTA EAST,1/1/2011,COCOYAM,60,4.9,294,1298,,
WESTERN,WEST AHANTA,1/1/2011,COCOYAM,200,4.8,960,1298,,
WESTERN,MPORHOR WASSA EAST,1/1/2011,COCOYAM,"1,600.00",4.65,"7,440.00",1298,,
WESTERN,WASSA WEST,1/1/2011,COCOYAM,600,4.75,"2,850.00",1298,,
WESTERN,EAST NZEMA,1/1/2011,COCOYAM,100,4.9,490,1298,,
WESTERN,JOMORO,1/1/2011,COCOYAM,100,3.9,390,1298,,
WESTERN,AMENFI EAST,1/1/2011,COCOYAM,"1,200.00",5.82,"6,984.00",1298,,
WESTERN,AMENFI  WEST (WASSA AMENFI),1/1/2011,COCOYAM,950,4.8,"4,560.00",1298,,
WESTERN,AOWIN -SUAMAN,1/1/2011,COCOYAM,"5,100.00",4.8,"24,480.00",1298,,
WESTERN,BIBIANI-ANHWIASO-BEKWAI,1/1/2011,COCOYAM,"6,500.00",5.75,"37,375.00",1298,,
WESTERN,SEFWI-WIAWSO,1/1/2011,COCOYAM,"9,500.00",6.8,"64,600.00",1298,,
WESTERN,BIA,1/1/2011,COCOYAM,"5,700.00",6.7,"38,190.00",1298,,
WESTERN,JUABESO,1/1/2011,COCOYAM,"6,200.00",6.8,"42,160.00",1298,,
WESTERN,SHAMA AHANTA EAST,1/1/2011,PLANTAIN,350,8.98,"3,143.00",1298,,
WESTERN,WEST AHANTA,1/1/2011,PLANTAIN,300,7.05,"2,115.00",1298,,
WESTERN,MPORHOR WASSA EAST,1/1/2011,PLANTAIN,"1,750.00",8.99,"15,732.50",1298,,
WESTERN,WASSA WEST,1/1/2011,PLANTAIN,"1,150.00",7.8,"8,970.00",1298,,
WESTERN,EAST NZEMA,1/1/2011,PLANTAIN,350,9.85,"3,447.50",1298,,
WESTERN,JOMORO,1/1/2011,PLANTAIN,300,10.8,"3,240.00",1298,,
WESTERN,AMENFI EAST,1/1/2011,PLANTAIN,"4,850.00",10.5,"50,925.00",1298,,
WESTERN,AMENFI  WEST (WASSA AMENFI),1/1/2011,PLANTAIN,"4,800.00",9.6,"46,080.00",1298,,
WESTERN,AOWIN -SUAMAN,1/1/2011,PLANTAIN,"8,300.00",10.9,"90,470.00",1298,,
WESTERN,BIBIANI-ANHWIASO-BEKWAI,1/1/2011,PLANTAIN,"8,100.00",9.9,"80,190.00",1298,,
WESTERN,SEFWI-WIAWSO,1/1/2011,PLANTAIN,"12,400.00",9.6,"119,040.00",1298,,
WESTERN,BIA,1/1/2011,PLANTAIN,"7,000.00",9.85,"68,950.00",1298,,
WESTERN,JUABESO,1/1/2011,PLANTAIN,"7,200.00",9.76,"70,272.00",1298,,
CENTRAL,UPPER DENKYIRA,1/1/2011,COCOYAM,"5,689.00",6.71,"38,173.19",1144,,
CENTRAL,TWIFO HERMAN LOWER DENKYIRA,1/1/2011,COCOYAM,"1,985.00",4.75,"9,428.75",1144,,
CENTRAL,ASSIN SOUTH,1/1/2011,COCOYAM,"1,321.00",4.32,"5,706.72",1144,,
CENTRAL,ASSIN NORTH,1/1/2011,COCOYAM,"2,210.00",4.62,"10,210.20",1144,,
CENTRAL,ABURA-ASEBU-KWAMANKESE,1/1/2011,COCOYAM,755,4.62,"3,488.10",1144,,
CENTRAL,ASIKUMA-ODOBEN-BRAKWA,1/1/2011,COCOYAM,17,4.42,75.14,1144,,
CENTRAL,AJUMAKO-ENYAN-ESIAM,1/1/2011,COCOYAM,"1,090.00",7.32,"7,978.80",1144,,
CENTRAL,CAPE COAST,1/1/2011,COCOYAM,416,4.3,"1,788.80",1144,,
CENTRAL,AGONA,1/1/2011,COCOYAM,"2,461.00",7.11,"17,497.71",1144,,
CENTRAL,UPPER DENKYIRA,1/1/2011,PLANTAIN,"5,973.40",9.14,"54,596.88",1144,,
CENTRAL,TWIFO HERMAN LOWER DENKYIRA,1/1/2011,PLANTAIN,"3,033.00",9.2,"27,903.60",1144,,
CENTRAL,ASSIN SOUTH,1/1/2011,PLANTAIN,"1,301.00",9.4,"12,229.40",1144,,
CENTRAL,ASSIN NORTH,1/1/2011,PLANTAIN,"1,700.00",6.12,"10,404.00",1144,,
CENTRAL,ABURA-ASEBU-KWAMANKESE,1/1/2011,PLANTAIN,"1,123.00",5.12,"5,749.76",1144,,
CENTRAL,ASIKUMA-ODOBEN-BRAKWA,1/1/2011,PLANTAIN,431,8.62,"3,715.22",1144,,
CENTRAL,MFANTSIMAN,1/1/2011,PLANTAIN,304,3.95,"1,200.80",1144,,
CENTRAL,KOMENDA-EDINA-EGUAFO-ABIREM,1/1/2011,PLANTAIN,502,5.9,"2,961.80",1144,,
CENTRAL,AJUMAKO-ENYAN-ESIAM,1/1/2011,PLANTAIN,512,11.14,"5,703.68",1144,,
CENTRAL,AWUTU-EFUTU-SENYA,1/1/2011,PLANTAIN,82,13.7,"1,123.40",1144,,
CENTRAL,GOMOA,1/1/2011,PLANTAIN,57,7.42,422.94,1144,,
CENTRAL,CAPE COAST,1/1/2011,PLANTAIN,132,7.7,"1,016.40",1144,,
CENTRAL,AGONA,1/1/2011,PLANTAIN,"2,712.00",12.3,"33,357.60",1144,,
EASTERN,BIRIM SOUTH,1/1/2011,COCOYAM,"4,233.06",9.5,"40,214.07",1337,,
EASTERN,WEST AKIM,1/1/2011,COCOYAM,"3,893.00",7,"27,251.00",1337,,
EASTERN,SUHUM KRABOA COALTAR,1/1/2011,COCOYAM,571.5,8.25,"4,714.88",1337,,
EASTERN,AKUAPIM SOUTH,1/1/2011,COCOYAM,310,5.5,"1,705.00",1337,,
EASTERN,AKUAPIM NORTH,1/1/2011,COCOYAM,325,8,"2,600.00",1337,,
EASTERN,NEW JUABEN,1/1/2011,COCOYAM,278,8,"2,224.00",1337,,
EASTERN,YILO KROBO,1/1/2011,COCOYAM,850,5.5,"4,675.00",1337,,
EASTERN,EAST AKIM,1/1/2011,COCOYAM,"2,390.00",8.5,"20,315.00",1337,,
EASTERN,ATIWA,1/1/2011,COCOYAM,"4,131.21",8,"33,049.68",1337,,
EASTERN,KWAEBIBIREM,1/1/2011,COCOYAM,"2,715.00",8.9,"24,163.50",1337,,
EASTERN,BIRIM NORTH,1/1/2011,COCOYAM,"2,372.00",8.4,"19,924.80",1337,,
EASTERN,KWAHU WEST,1/1/2011,COCOYAM,611,8,"4,888.00",1337,,
EASTERN,KWAHU WEST,1/1/2011,COCOYAM,"1,120.00",7.8,"8,736.00",1337,,
EASTERN,FANTEAKWA,1/1/2011,COCOYAM,"7,010.00",8.23,"57,692.30",1337,,
EASTERN,AFRAM PLAINS,1/1/2011,COCOYAM,46,5,230,1337,,
EASTERN,ASUOGYAMAN,1/1/2011,COCOYAM,38,5,190,1337,,
EASTERN,MANYA KROBO,1/1/2011,COCOYAM,124,7,868,1337,,
EASTERN,BIRIM SOUTH,1/1/2011,PLANTAIN,"8,556.00",11,"94,116.00",1337,,
EASTERN,WEST AKIM,1/1/2011,PLANTAIN,"9,812.64",10.5,"103,032.72",1337,,
EASTERN,SUHUM KRABOA COALTAR,1/1/2011,PLANTAIN,"7,615.00",8.9,"67,773.50",1337,,
EASTERN,AKUAPIM SOUTH,1/1/2011,PLANTAIN,"1,569.00",9.4,"14,748.60",1337,,
EASTERN,AKUAPIM NORTH,1/1/2011,PLANTAIN,"1,450.00",9.8,"14,210.00",1337,,
EASTERN,NEW JUABEN,1/1/2011,PLANTAIN,880,10.6,"9,328.00",1337,,
EASTERN,YILO KROBO,1/1/2011,PLANTAIN,589,9.6,"5,654.40",1337,,
EASTERN,EAST AKIM,1/1/2011,PLANTAIN,"5,072.00",10.6,"53,763.20",1337,,
EASTERN,ATIWA,1/1/2011,PLANTAIN,"8,806.50",10,"88,065.00",1337,,
EASTERN,KWAEBIBIREM,1/1/2011,PLANTAIN,"5,859.00",9.8,"57,418.20",1337,,
EASTERN,BIRIM NORTH,1/1/2011,PLANTAIN,"9,801.00",9.6,"94,089.60",1337,,
EASTERN,KWAHU WEST,1/1/2011,PLANTAIN,"2,541.90",11.2,"28,469.28",1337,,
EASTERN,KWAHU WEST,1/1/2011,PLANTAIN,"6,920.00",9.5,"65,740.00",1337,,
EASTERN,FANTEAKWA,1/1/2011,PLANTAIN,"13,625.00",10.5,"143,062.50",1337,,
EASTERN,AFRAM PLAINS,1/1/2011,PLANTAIN,156,7,"1,092.00",1337,,
EASTERN,ASUOGYAMAN,1/1/2011,PLANTAIN,900,8.5,"7,650.00",1337,,
EASTERN,MANYA KROBO,1/1/2011,PLANTAIN,615,9.8,"6,027.00",1337,,
EASTERN,KWAHU WEST,1/1/2011,GROUNDNUT,"2,032.10",1.3,"2,641.73",1337,,
EASTERN,AFRAM PLAINS,1/1/2011,GROUNDNUT,"8,220.00",1.4,"11,508.00",1337,,
EASTERN,NEW JUABEN,1/1/2011,COWPEA,55,1.4,77,1337,,
EASTERN,YILO KROBO,1/1/2011,COWPEA,30,1.2,36,1337,,
EASTERN,KWAHU WEST,1/1/2011,COWPEA,10, -   , -   ,1337,,
EASTERN,FANTEAKWA,1/1/2011,COWPEA,572,1.4,800.8,1337,,
EASTERN,AFRAM PLAINS,1/1/2011,COWPEA,"1,173.00",1.3,"1,524.90",1337,,
EASTERN,MANYA KROBO,1/1/2011,COWPEA,106,1.2,127.2,1337,,
VOLTA,NORTH DAYI (KPANDO),1/1/2011,COCOYAM,101,6.19,625.19,928,,
VOLTA,SOUTH DAYI,1/1/2011,COCOYAM,122.4,5.07,620.57,928,,
VOLTA,HOHOE MUNICIPAL,1/1/2011,COCOYAM,213.2,3.06,651.33,928,,
VOLTA,JASIKAN,1/1/2011,COCOYAM,"2,101.20",10.63,"22,339.96",928,,
VOLTA,KADJEBI,1/1/2011,COCOYAM,"2,233.80",8.06,"18,004.43",928,,
VOLTA,NKWANTA,1/1/2011,COCOYAM,855.8,5.4,"4,621.32",928,,
VOLTA,KRACHI WEST,1/1/2011,COCOYAM,70.4,3.48,244.71,928,,
VOLTA,KRACHI EAST,1/1/2011,COCOYAM,101,4.49,453.29,928,,
VOLTA,HO MUNICIPAL,1/1/2011,COCOYAM,449,3.6,"1,617.30",928,,
VOLTA,ADAKLU ANYIGBE,1/1/2011,COCOYAM,20.3,4.9,99.51,928,,
VOLTA,NORTH DAYI (KPANDO),1/1/2011,PLANTAIN,204,6.07,"1,238.28",928,,
VOLTA,SOUTH DAYI,1/1/2011,PLANTAIN,174.4,7.16,"1,248.70",928,,
VOLTA,HOHOE MUNICIPAL,1/1/2011,PLANTAIN,643,5.61,"3,607.23",928,,
VOLTA,JASIKAN,1/1/2011,PLANTAIN,"3,327.20",8.88,"29,532.23",928,,
VOLTA,KADJEBI,1/1/2011,PLANTAIN,"2,399.00",7.65,"18,357.15",928,,
VOLTA,NKWANTA,1/1/2011,PLANTAIN,510.2,6.85,"3,492.93",928,,
VOLTA,KRACHI WEST,1/1/2011,PLANTAIN,122.6,5.66,694.28,928,,
VOLTA,KRACHI EAST,1/1/2011,PLANTAIN,213.2,6.12,"1,305.21",928,,
VOLTA,HO MUNICIPAL,1/1/2011,PLANTAIN,285.6,10.41,"2,971.95",928,,
VOLTA,ADAKLU ANYIGBE,1/1/2011,PLANTAIN,20.2,5.3,107.14,928,,
VOLTA,NKWANTA,1/1/2011,SORGHUM,614,1.11,681.54,928,,
VOLTA,KRACHI WEST,1/1/2011,SORGHUM,"2,610.40",1.23,"3,210.79",928,,
VOLTA,KRACHI EAST,1/1/2011,SORGHUM,"1,179.20",1.23,"1,452.77",928,,
VOLTA,NORTH TONGU,1/1/2011,COWPEA,65,1.5,97.5,928,,
VOLTA,AKATSI,1/1/2011,COWPEA,674.2,2.2,"1,483.24",928,,
VOLTA,NKWANTA,1/1/2011,COWPEA,"1,234.00",1.12,"1,384.55",928,,
ASHANTI,BEKWAI MUNICIPAL (AMANSIE EAST),1/1/2011,COCOYAM,"2,800.00",5.5,"15,400.00",1170,,
ASHANTI,AMANSIE CENTRAL,1/1/2011,COCOYAM,"1,444.30",7.5,"10,832.25",1170,,
ASHANTI,AMANSIE WEST,1/1/2011,COCOYAM,"1,500.00",6.8,"10,200.00",1170,,
ASHANTI,EJURA SEKYEREDUMASE,1/1/2011,COCOYAM,30,4.5,135,1170,,
ASHANTI,SEKYERE WEST ,1/1/2011,COCOYAM,"2,079.00",6.5,"13,513.50",1170,,
ASHANTI,SEKYERE EAST,1/1/2011,COCOYAM,"3,260.00",6.6,"21,516.00",1170,,
ASHANTI,AFIGYA SEKYERE,1/1/2011,COCOYAM,"3,333.00",6.5,"21,664.50",1170,,
ASHANTI,AHAFO ANO NORTH,1/1/2011,COCOYAM,"6,565.00",6.6,"43,329.00",1170,,
ASHANTI,AHAFO ANO SOUTH,1/1/2011,COCOYAM,"9,690.00",6.1,"59,109.00",1170,,
ASHANTI,ATWIMA MPONUA,1/1/2011,COCOYAM,"6,300.00",5.6,"35,280.00",1170,,
ASHANTI,ATWIMA NWABIAGYA,1/1/2011,COCOYAM,"5,500.00",5.2,"28,600.00",1170,,
ASHANTI,EJUSU JUABEN,1/1/2011,COCOYAM,"2,474.50",6.5,"16,084.25",1170,,
ASHANTI,BOSUMTWE-ATWIMA-KWANWOMA,1/1/2011,COCOYAM,"1,029.00",6.6,"6,791.40",1170,,
ASHANTI,KWABRE ,1/1/2011,COCOYAM,"2,871.00",6.39,"18,351.43",1170,,
ASHANTI,OFFINSO,1/1/2011,COCOYAM,"1,500.00",6,"9,000.00",1170,,
ASHANTI,ADANSI NORTH,1/1/2011,COCOYAM,"1,100.00",5.5,"6,050.00",1170,,
ASHANTI,OBUASI MUNICIPAL (ADANSI WEST),1/1/2011,COCOYAM,450,6,"2,700.00",1170,,
ASHANTI,ADANSI  SOUTH,1/1/2011,COCOYAM,"2,400.00",6.5,"15,600.00",1170,,
ASHANTI,ASANTE AKIM NORTH,1/1/2011,COCOYAM,"1,188.00",7,"8,316.00",1170,,
ASHANTI,ASANTE AKIM SOUTH,1/1/2011,COCOYAM,"8,585.00",5,"42,925.00",1170,,
ASHANTI,KUMASI METROPOLITAN ASSEMBLY,1/1/2011,COCOYAM,10,4,40,1170,,
ASHANTI,BEKWAI MUNICIPAL (AMANSIE EAST),1/1/2011,PLANTAIN,"6,882.75",10,"68,827.50",1170,,
ASHANTI,AMANSIE CENTRAL,1/1/2011,PLANTAIN,"4,554.00",8.8,"40,075.20",1170,,
ASHANTI,AMANSIE WEST,1/1/2011,PLANTAIN,"3,260.25",9.6,"31,298.40",1170,,
ASHANTI,EJURA SEKYEREDUMASE,1/1/2011,PLANTAIN,838.35,8.6,"7,209.81",1170,,
ASHANTI,SEKYERE WEST ,1/1/2011,PLANTAIN,"4,140.00",10.6,"43,884.00",1170,,
ASHANTI,SEKYERE EAST,1/1/2011,PLANTAIN,"3,622.50",12,"43,470.00",1170,,
ASHANTI,AFIGYA SEKYERE,1/1/2011,PLANTAIN,"4,657.50",8.7,"40,520.25",1170,,
ASHANTI,AHAFO ANO NORTH,1/1/2011,PLANTAIN,"7,200.00",10.6,"76,320.00",1170,,
ASHANTI,AHAFO ANO SOUTH,1/1/2011,PLANTAIN,"7,762.50",9.7,"75,296.25",1170,,
ASHANTI,ATWIMA MPONUA,1/1/2011,PLANTAIN,"8,280.00",9.7,"80,316.00",1170,,
ASHANTI,ATWIMA NWABIAGYA,1/1/2011,PLANTAIN,"4,657.50",9.8,"45,643.50",1170,,
ASHANTI,EJUSU JUABEN,1/1/2011,PLANTAIN,"3,519.00",9.8,"34,486.20",1170,,
ASHANTI,BOSUMTWE-ATWIMA-KWANWOMA,1/1/2011,PLANTAIN,"3,208.50",9.8,"31,443.30",1170,,
ASHANTI,KWABRE ,1/1/2011,PLANTAIN,"2,070.00",10.5,"21,735.00",1170,,
ASHANTI,OFFINSO,1/1/2011,PLANTAIN,"6,210.00",10.4,"64,584.00",1170,,
ASHANTI,ADANSI NORTH,1/1/2011,PLANTAIN,"4,347.00",10.2,"44,339.40",1170,,
ASHANTI,OBUASI MUNICIPAL (ADANSI WEST),1/1/2011,PLANTAIN,931.5,8.7,"8,104.05",1170,,
ASHANTI,ADANSI  SOUTH,1/1/2011,PLANTAIN,"2,850.00",10.6,"30,210.00",1170,,
ASHANTI,ASANTE AKIM NORTH,1/1/2011,PLANTAIN,"8,493.22",10.5,"89,178.77",1170,,
ASHANTI,ASANTE AKIM SOUTH,1/1/2011,PLANTAIN,"7,748.53",11.7,"90,657.77",1170,,
ASHANTI,KUMASI METROPOLITAN ASSEMBLY,1/1/2011,PLANTAIN,983.25,10,"9,832.50",1170,,
ASHANTI,EJURA SEKYEREDUMASE,1/1/2011,GROUNDNUT,"4,464.20",1.35,"6,026.67",1170,,
ASHANTI,SEKYERE WEST ,1/1/2011,GROUNDNUT,580,1.2,696,1170,,
ASHANTI,SEKYERE EAST,1/1/2011,GROUNDNUT,663,1.17,775.71,1170,,
ASHANTI,AFIGYA SEKYERE,1/1/2011,GROUNDNUT,60,1.1,66,1170,,
ASHANTI,OFFINSO,1/1/2011,GROUNDNUT,494.4,1.17,578.45,1170,,
ASHANTI,EJURA SEKYEREDUMASE,1/1/2011,COWPEA,"6,060.00",0.32,"1,939.20",1170,,
ASHANTI,SEKYERE WEST ,1/1/2011,COWPEA,918, -   , -   ,1170,,
ASHANTI,SEKYERE EAST,1/1/2011,COWPEA,707,0.4,282.8,1170,,
ASHANTI,AFIGYA SEKYERE,1/1/2011,COWPEA,80, -   , -   ,1170,,
ASHANTI,AHAFO ANO NORTH,1/1/2011,COWPEA,80,0.55,43.6,1170,,
ASHANTI,ATWIMA NWABIAGYA,1/1/2011,COWPEA,20, -   , -   ,1170,,
ASHANTI,BOSUMTWE-ATWIMA-KWANWOMA,1/1/2011,COWPEA,70,0.3,21,1170,,
ASHANTI,OFFINSO,1/1/2011,COWPEA,214.2,0.35,74.97,1170,,
ASHANTI,ASANTE AKIM NORTH,1/1/2011,COWPEA,63.38,0.4,25.35,1170,,
BRONG AHAFO, WENCHI MUNICIPAL ,1/1/2011,SORGHUM,108,1.18,127.44,823,,
BRONG AHAFO,NKORANZA,1/1/2011,SORGHUM,95,1,95,823,,
BRONG AHAFO,KINTAMPO NORTH,1/1/2011,SORGHUM,155,1.1,170.5,823,,
BRONG AHAFO,ATEBUBU -AMANTIN,1/1/2011,SORGHUM,125,1.11,138.75,823,,
BRONG AHAFO,TAIN,1/1/2011,SORGHUM,147,1.2,176.4,823,,
BRONG AHAFO, SUNYANI MUNICIPAL ,1/1/2011,COCOYAM,"1,631.00",4.51,"7,355.81",823,,
BRONG AHAFO,ASUTIFI,1/1/2011,COCOYAM,"14,699.00",7,"102,893.00",823,,
